"ChampionX","(281) 632-6500","https://www.championx.com/"
"Windstream Communications","(281) 490-9485","http://centerpointenergy.com"
"Environmental Development Partners, LLC","(713) 395-3100","http://ljaengineering.com"
"CenterPoint Energy","(713) 207-2222","http://halff.com"
"LJA Engineering, Inc.","(713) 953-5200","http://ksaeng.com"
"Halff Associates, Inc.","(713) 588-2450","http://costelloinc.com"
"KSA Engineers, Inc.","(281) 494-3252","http://www.aecom.com"
"Costello, Inc.","(713) 783-7788","http://avilesengineering.com"
"AECOM","(281) 646-2400","http://brooksandsparks.com"
"Aviles Engineering Corporation","(713) 895-7645","http://pgal.com"
"Brooks & Sparks, Inc.","(281) 578-9595","http://cmttechnicalservices.com "
"PGAL","(713) 622-1444","http://decorp.com"
"CMT Technical Services","(713) 686-6771","http://cobbfendley.com"
"DEC","(713) 527-6481","http://bergoliver.com"
"Cobb, Fendley & Associates, Inc.","(713) 462-3242","http://hrgreen.com"
"Berg-Oliver Associates, Inc.","(281) 589-0898","http://associatedtesting.com"
"HR Green, Inc.","(713) 965-9996","http://othon.com"
"Associated Testing Laboratories, Inc.","(713) 748-3717","http://tweinc.com"
"OTHON Engineering","(713) 975-8555","https://team-civil.com/?gclid=CjwKCAjwj6SEBhAOEiwAvFRuKMW7yF9S6etgdoxtwNCv9DmHuK8KM5ZqLN9F26iM8_0GxKkSdqOr0xoC_l8QAvD_BwE"
"Tolunay-Wong Engineers, Inc.","(713) 722-7064","http://ConditionedAirTX.com"
"McKim & Creed","(281) 491-2525","http://idcus.com"
"Conditioned Air Mechanical, LLC","(281) 561-6911","http://geotesteng.com"
"IDCUS Inc.","(713) 541-5591","http://www.geotecheng.com"
"Geotest Engineering, Inc.","(713) 266-0588","http://www.huntongroup.com"
"Geotech Engineering and Testing","(713) 699-4000","http://transystems.com"
"The Hunton Group","(713) 266-3900","http://terracon.com"
"TranSystems Corporation","(713) 807-0600","http://reliant.com/business"
"Terracon","(713) 690-8989","http://euflorainterscaping.com"
"Reliant, an NRG Company","(713) 537-2328","http://ninyoandmoore.com"
"SiEnergy","(512) 261-4152","http://mectx.com"
"Euflora Interscaping","(713) 862-3749","http://hvj.com"
"Oil Products Distribution","(281) 495-7777","http://burgessniple.com"
"Woolpert","(281) 304-0200","http://neel-schaffer.com"
"Ninyo & Moore","(713) 973-8400","http://www.arnettmechanical.com"
"McDonough Engineering Corporation","(713) 975-9990","http://terraassoc.com"
"Ginco Services, LLC","(281) 969-7541","https://windroseservices.com"
"HVJ Associates, Inc.","(281) 933-7388","http://www.RocketManService.com"
"Earth Engineering, Inc.","(713) 681-5311","http://tejassurveying.com"
"Pfluger Architects","(713) 222-1141",""
"Williams","(713) 493-2500",""
"E Contractors","(858) 922-5508",""
"RWE Renewables","(281) 980-7705",""
"Burgess & Niple, Inc.","(713) 783-7117",""
"Neel-Schaffer, Inc.","(281) 962-0332",""
"Petrabytes Corp","(713) 987-0000",""
"Arcosa Stabilized & Recycling","(713) 300-1478",""
"Arnett Mechanical","(713) 907-5432",""
"Arnold Heating & Cooling LLC","346-241-0400, Ext. 304 or 307",""
"Stuart Consulting Group, Inc.","(281) 341-0808",""
"Kaluza, Inc.","(281) 760-1656",""
"MBCO Engineering, LLC","(346) 326-0847",""
"TNP Katy","(713) 993-0333",""
"Terra Associates, Inc.","(832) 779-7691",""
"Windrose Surveying & Land Services","(281) 493-4140",""
"Consor Engineers, LLC","(713) 861-7068",""
"Landtech, Inc.","(877) 627-3772",""
"Colliers Engineering & Design","(713) 540-1000",""
"RocketMan Service","(281) 240-9099",""
